vel,Re,phi,theta,Theoretical 0°,Theoretical 90°,Exp C_d,Theoretical C_d,Absolute difference,Deviation %
10,0.1,2,0.785398,182.2,208.56,194.51,195.38,0.87,0.4452861091
7.75,0.0775,2,0.785398,235.0967742,269.1096774,250.9,252.1032258,1.203225806,0.4772750537
5.5,0.055,2,0.785398,331.2727273,379.2,353.52,355.2363636,1.716363636,0.4831610196
3.25,0.0325,2,0.785398,560.6153846,641.7230769,598.15,601.1692308,3.019230769,0.5022264305
1,0.01,2,0.785398,1822,2085.6,1943.27,1953.8,10.53,0.538949739
0.94,0.0094,2,0.785398,1938.297872,2218.723404,2067.3,2078.510638,11.2106383,0.5393591975
0.88,0.0088,2,0.785398,2070.454545,2370,2208.24,2220.227273,11.98727273,0.5399119664
0.82,0.0082,2,0.785398,2221.95122,2543.414634,2369.81,2382.682927,12.87292683,0.5402702426
0.76,0.0076,2,0.785398,2397.368421,2744.210526,2556.89,2570.789474,13.89947368,0.5406694646
0.7,0.007,2,0.785398,2602.857143,2979.428571,2776.04,2791.142857,15.10285714,0.541099396
0.64,0.0064,2,0.785398,2846.875,3258.75,3036.28,3052.8125,16.5325,0.5415498004
0.58,0.0058,2,0.785398,3141.37931,3595.862069,3350.36,3368.62069,18.26068966,0.5420820964
0.52,0.0052,2,0.785398,3503.846154,4010.769231,3736.92,3757.307692,20.38769231,0.5426143925
0.46,0.0046,2,0.785398,3960.869565,4533.913043,4224.33,4247.391304,23.06130435,0.5429521957
0.4,0.004,2,0.785398,4555,5214,4857.95,4884.5,26.55,0.543556147
0.34,0.0034,2,0.785398,5358.823529,6134.117647,5715.22,5746.470588,31.25058824,0.543822295
0.28,0.0028,2,0.785398,6507.142857,7448.571429,6939.87,6977.857143,37.98714286,0.5443955369
0.22,0.0022,2,0.785398,8281.818182,9480,8832.53,8880.909091,48.37909091,0.5447538131
0.16,0.0016,2,0.785398,11387.5,13035,12144.67,12211.25,66.58,0.5452349268
0.1,0.001,2,0.785398,18220,20856,19431.38,19538,106.62,0.5457058041
