vel,phi,theta,Re,Exp C_d,Theoretical C_d,Absolute difference,Deviation %
10,2,0,0.1,182.22,182.2,0.02,0.01097694841
7.75,2,0,0.0775,235.09,235.0967742,0.006774193548,0.002881448957
5.5,2,0,0.055,331.21,331.2727273,0.06272727273,0.018935236
3.25,2,0,0.0325,560.41,560.6153846,0.2053846154,0.03663556531
1,2,0,0.01,1820.71,1822,1.29,0.07080131723
0.94,2,0,0.0094,1936.91,1938.297872,1.38787234,0.07160263447
0.88,2,0,0.0088,2068.97,2070.454545,1.484545455,0.071701427
0.82,2,0,0.0082,2220.35,2221.95122,1.601219512,0.0720636663
0.76,2,0,0.0076,2395.63,2397.368421,1.738421053,0.07251372119
0.7,2,0,0.007,2600.96,2602.857143,1.897142857,0.07288693743
0.64,2,0,0.0064,2844.78,2846.875,2.095,0.07358946213
0.58,2,0,0.0058,3139.06,3141.37931,2.319310345,0.07383095499
0.52,2,0,0.0052,3501.25,3503.846154,2.596153846,0.07409440176
0.46,2,0,0.0046,3957.92,3960.869565,2.949565217,0.074467618
0.4,2,0,0.004,4551.58,4555,3.42,0.07508232711
0.34,2,0,0.0034,5354.78,5358.823529,4.043529412,0.07545554336
0.28,2,0,0.0028,6502.2,6507.142857,4.942857143,0.07596048299
0.22,2,0,0.0022,8275.5,8281.818182,6.318181818,0.07628979144
0.16,2,0,0.0016,11378.76,11387.5,8.74,0.07675082327
0.1,2,0,0.001,18205.94,18220,14.06,0.07716794731
